interne Kurzform,Bezeichnung
**,Kein Eintrag
AG Band,Musik
AG Bibliothek,AG Bibliothek
AG Bläserensemble,AG Bläserensemble
AG CH,Chemie-AG
AG Chor,AG Chor
AG Computer,AG Computer
AG Courage,Courage AG
AG D,Zeitungs-AG
AG DELF,AG DELF
AG DELF10,DELF-AG10
AG Erasmus+,AG Erasmus+
AG Erste Hilfe,AG Erste Hilfe
AG Gartenbau,AG Gartenbau
AG Golf,AG Golf
AG HW,Hauswirtschafts-AG
AG IF,Informatik-AG
AG Imker,Imker-AG
AG Keyboard,AG Keyboard
AG Kreativ,Kreativ-AG
AG Medienscouts,AG Medienscouts
AG Rechtskunde,Rechtskunde AG
AG Schlagzeug,Schlagzeug AG
AG Schulband,AG Schulband
AG Seniorenbetreuung,AG Seniorenbetreuung
AG Solarfahrzeug,AG Solarfahrzeug
AG SP,Sport-AG
AG Tanz,AG Tanz
AG The English Club,AG The English Club
AG TX,Textilgestaltung-AG
BI,Biologie
CH,Chemie
D,Deutsch
DE,Deutsch-Ergänzung
DF,Deutsch Förderunterricht
E,Englisch
EE,Englisch-Ergänzung
EF,Englisch Förderunterricht
EK,Erdkunde
ER,Evangelische Religionslehre
F,Französisch
F8,"Französisch, regulärer Beginn in Jahrgang 8"
FÖRS,Förderung Rechtschreibung
FS,Französisch-Kurs
GE,Geschichte
HW,Hauswirtschaft
IF,Informatik-56
IFTT,Informatik Tastaturtraining
IK,Individuelles Lernen (dem Kernstundenkontingent entnommen)
IKG,Informatik
IL,Islamischer Religionsunterricht
INF,Informatik-Kurs
ITG,ITG
KR,Katholische Religionslehre
KU,Kunst
M,Mathematik
ME,Mathematik-Ergänzung
MF,Mathematik Förderunterricht
MU,Musik
MUS,Musik-Kurs
NW,Biologie-Kurs
PH,Physik
PK,Politik
PP,Praktische Philosophie
S6,Spanisch
SOL,Soziales Lernen
SP,Sport
SW,Sozialwissenschaften
T,Türkisch
TC,Technik
TC/INF,Technik-Informatik
TX,Textilgestaltung
WP,Wirtschaft-Politik
