"Klasse";"Jahrgang";"AG_Erasmus+_FachKrz";"AG_Erasmus+_ZeugnisBez";"AG_Erasmus+_Kurs";"AG_Gartenbau_FachKrz";"AG_Gartenbau_ZeugnisBez";"AG_Gartenbau_Kurs";"AG_Rechtskunde_FachKrz";"AG_Rechtskunde_ZeugnisBez";"AG_Rechtskunde_Kurs";"BI_FachKrz";"BI_ZeugnisBez";"BI_Kurs";"CH_FachKrz";"CH_ZeugnisBez";"CH_Kurs";"D_FachKrz";"D_ZeugnisBez";"D_Kurs";"DF_FachKrz";"DF_ZeugnisBez";"DF_Kurs";"E_FachKrz";"E_ZeugnisBez";"E_Kurs";"EF_FachKrz";"EF_ZeugnisBez";"EF_Kurs";"EK_FachKrz";"EK_ZeugnisBez";"EK_Kurs";"ER_FachKrz";"ER_ZeugnisBez";"ER_Kurs";"FS_FachKrz";"FS_ZeugnisBez";"FS_Kurs";"GE_FachKrz";"GE_ZeugnisBez";"GE_Kurs";"HW_FachKrz";"HW_ZeugnisBez";"HW_Kurs";"IF_FachKrz";"IF_ZeugnisBez";"IF_Kurs";"KR_FachKrz";"KR_ZeugnisBez";"KR_Kurs";"KU_FachKrz";"KU_ZeugnisBez";"KU_Kurs";"M_FachKrz";"M_ZeugnisBez";"M_Kurs";"MF_FachKrz";"MF_ZeugnisBez";"MF_Kurs";"MU_FachKrz";"MU_ZeugnisBez";"MU_Kurs";"PH_FachKrz";"PH_ZeugnisBez";"PH_Kurs";"PK_FachKrz";"PK_ZeugnisBez";"PK_Kurs";"PP_FachKrz";"PP_ZeugnisBez";"PP_Kurs";"SOL_FachKrz";"SOL_ZeugnisBez";"SOL_Kurs";"SP_FachKrz";"SP_ZeugnisBez";"SP_Kurs";"SW_FachKrz";"SW_ZeugnisBez";"SW_Kurs";"TC_FachKrz";"TC_ZeugnisBez";"TC_Kurs";"TX_FachKrz";"TX_ZeugnisBez";"TX_Kurs"
"05A";"05";"";"";"";"AG Gartenbau";"AG Gartenbau";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"ER";"Evangelische Religionslehre";"05ER2";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"";"";"";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"";"";"";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"KR";"Katholische Religionslehre";"05KR1";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"";"";"";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"";"";"";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"PP";"Praktische Philosophie";"05PP1";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"KR";"Katholische Religionslehre";"05KR1";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"";"";"";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"KR";"Katholische Religionslehre";"05KR1";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"";"";"";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"KR";"Katholische Religionslehre";"05KR1";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"";"";"";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"KR";"Katholische Religionslehre";"05KR1";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"";"";"";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"";"";"";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"PP";"Praktische Philosophie";"05PP1";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"KR";"Katholische Religionslehre";"05KR1";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"";"";"";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
"05A";"05";"";"";"";"";"";"";"";"";"";"BI";"Biologie";"";"";"";"";"D";"Deutsch";"";"DF";"Förderunterricht Deutsch";"";"E";"Englisch";"";"EF";"Förderunterricht Englisch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IF";"Informatik";"";"KR";"Katholische Religionslehre";"05KR1";"KU";"Kunst";"";"M";"Mathematik";"";"MF";"Förderunterricht Mathematik";"";"MU";"Musik";"";"PH";"Physik";"";"PK";"Politik";"";"";"";"";"SOL";"Soziales Lernen";"";"SP";"Sport";"";"";"";"";"";"";"";"";"";""
